all,all_genus,mam,mam_genus,amph,amph_genus,rep,rep_genus,tree_height,tree_density,elevation,temp,precip,country,island,BGR,vert_all,mam_all,amp_all,rep_all,x,y
0,0,0,0,0,0,0,0,28.99312,50126.99,1455.637,5.503915,153.4829,New Zealand,South Island,0,3,0,0,3,172.9594,-41.91337749
0,0,0,0,0,0,0,0,30.42753,61548.19,1335.707,7.489799,200.6333,New Zealand,South Island,0,7,1,0,6,172.5894,-41.36337749
0,0,0,0,0,0,0,0,30.48366,79512.3,475.6417,10.04198,194.8713,New Zealand,South Island,0,4,1,0,3,172.1794,-41.63337749
0,0,0,0,0,0,0,0,33.39301,85162.24,425.3125,10.57533,208.1481,New Zealand,South Island,0,6,1,0,5,171.9494,-41.74337749
0,0,0,0,0,0,0,0,26.03883,70775.36,367.3918,9.726788,192.0854,New Zealand,South Island,0,7,1,0,6,172.5094,-41.23337749
0,0,0,0,0,0,0,0,22.56133,7843.597,1451.965,6.164978,152.789,New Zealand,South Island,0,9,1,0,8,173.0294,-41.66337749
0,0,0,0,0,0,0,0,29.78541,60479.33,503.9232,9.618291,168.0002,New Zealand,South Island,0,7,1,0,6,172.6494,-41.36337749
0,0,0,0,0,0,0,0,23.32576,72206.43,275.0708,10.69852,181.7056,New Zealand,South Island,0,6,1,0,5,172.2094,-41.57337749
0,0,0,0,0,0,0,0,30.93796,75404.31,629.5121,9.328031,215.848,New Zealand,South Island,0,6,2,0,4,172.1194,-41.56337749
0,0,0,0,0,0,0,0,26.51863,71102.93,454.1422,9.654437,192.9964,New Zealand,South Island,0,6,1,0,5,172.4394,-41.32337749
0,0,0,0,0,0,0,0,31.02608,69925.4,504.9683,10.79832,196.6479,New Zealand,South Island,0,6,1,0,5,172.2594,-41.24337749
0,0,0,0,0,0,0,0,34.37896,84531.91,502.1522,9.6895,266.2298,New Zealand,South Island,0,5,2,0,3,171.5594,-41.93337749
0,0,0,0,0,0,0,0,26.68989,72367.47,441.0157,10.07732,200.5699,New Zealand,South Island,0,6,1,0,5,172.0694,-41.82337749
0,0,0,0,0,0,0,0,12.72586,37068.91,1166.317,5.861099,172.1013,New Zealand,South Island,0,4,0,0,4,172.0694,-43.07337749
0,0,0,0,0,0,0,0,23.17562,51000.37,1169.378,6.793175,247.8977,New Zealand,South Island,0,2,0,0,2,171.7294,-42.94337749
0,0,0,0,0,0,0,0,30.91583,76507.95,206.9234,11.0867,204.9804,New Zealand,South Island,0,5,1,0,4,171.8394,-41.88337749
0,0,0,0,0,0,0,0,30.48662,76360.95,765.805,8.509727,191.0736,New Zealand,South Island,0,4,1,0,3,172.4294,-41.62337749
0,0,0,0,0,0,0,0,29.33047,61336.68,752.7747,9.317062,122.4819,New Zealand,South Island,0,5,0,0,5,173.5294,-41.39337749
0,0,0,0,0,0,0,0,29.74547,35397.79,1195.574,7.08278,246.3962,New Zealand,South Island,0,5,1,0,4,172.0694,-41.90337749
0,0,0,0,0,0,0,0,29.52973,74671.33,779.5314,8.48619,160.3491,New Zealand,South Island,0,2,1,0,1,172.5594,-41.91337749
0,0,0,0,0,0,0,0,27.33257,66513.79,848.2156,7.453255,134.817,New Zealand,South Island,0,7,1,0,6,173.2594,-41.50337749
0,0,0,0,0,0,0,0,0.714772,80235.2,479.2619,10.3119,325.3428,New Zealand,South Island,0,3,2,0,1,171.1694,-42.81337749
0,0,0,0,0,0,0,0,3.380674,53708.63,1065.11,5.039081,186.5042,New Zealand,South Island,0,2,1,0,1,172.6594,-42.03337749
0,0,0,0,0,0,0,0,30.60458,10229.11,1412.068,6.670612,173.8697,New Zealand,South Island,0,2,1,0,1,172.5794,-41.96337749
0,0,0,0,0,0,0,0,30.5248,43503.19,974.855,7.59933,228.3419,New Zealand,South Island,0,6,1,0,5,172.3094,-41.40337749
0,0,0,0,0,0,0,0,28.48671,26609.68,1356.099,6.170287,147.8402,New Zealand,South Island,0,4,0,0,4,172.4794,-42.69337749
0,0,0,0,0,0,0,0,21.35929,21901.91,831.2709,6.885616,146.7105,New Zealand,South Island,0,2,1,0,1,172.6394,-42.23337749
0,0,0,0,0,0,0,0,26.8659,53140.08,604.5513,9.284595,210.8838,New Zealand,South Island,0,6,1,0,5,172.2894,-41.32337749
